Component,Origin,License
core,"bazil.org/fuse",ISC
core,"bazil.org/fuse/fs",ISC
core,"bazil.org/fuse/fs/fstestutil",ISC
core,"bazil.org/fuse/fs/fstestutil/record",ISC
core,"bazil.org/fuse/fuseutil",ISC
core,"bazil.org/fuse/syscallx",ISC
core,"bitbucket.org/bertimus9/systemstat",MIT
core,"cloud.google.com/go",Apache-2.0
core,"cloud.google.com/go/asset/apiv1",Apache-2.0
core,"cloud.google.com/go/asset/apiv1beta1",Apache-2.0
core,"cloud.google.com/go/asset/apiv1p2beta1",Apache-2.0
core,"cloud.google.com/go/asset/v1beta1",Apache-2.0
core,"cloud.google.com/go/automl/apiv1",Apache-2.0
core,"cloud.google.com/go/automl/apiv1beta1",Apache-2.0
core,"cloud.google.com/go/bigquery",Apache-2.0
core,"cloud.google.com/go/bigquery/datatransfer/apiv1",Apache-2.0
core,"cloud.google.com/go/bigquery/storage/apiv1beta1",Apache-2.0
core,"cloud.google.com/go/civil",Apache-2.0
core,"cloud.google.com/go/cloudbuild/apiv1",Apache-2.0
core,"cloud.google.com/go/cloudtasks/apiv2",Apache-2.0
core,"cloud.google.com/go/cloudtasks/apiv2beta2",Apache-2.0
core,"cloud.google.com/go/cloudtasks/apiv2beta3",Apache-2.0
core,"cloud.google.com/go/cmd/go-cloud-debug-agent/internal/breakpoints",Apache-2.0
core,"cloud.google.com/go/cmd/go-cloud-debug-agent/internal/controller",Apache-2.0
core,"cloud.google.com/go/cmd/go-cloud-debug-agent/internal/debug",Apache-2.0
core,"cloud.google.com/go/cmd/go-cloud-debug-agent/internal/debug/arch",Apache-2.0
core,"cloud.google.com/go/cmd/go-cloud-debug-agent/internal/debug/dwarf",Apache-2.0
core,"cloud.google.com/go/cmd/go-cloud-debug-agent/internal/debug/elf",Apache-2.0
core,"cloud.google.com/go/cmd/go-cloud-debug-agent/internal/debug/local",Apache-2.0
core,"cloud.google.com/go/cmd/go-cloud-debug-agent/internal/debug/remote",Apache-2.0
core,"cloud.google.com/go/cmd/go-cloud-debug-agent/internal/debug/server",Apache-2.0
core,"cloud.google.com/go/cmd/go-cloud-debug-agent/internal/debug/server/protocol",Apache-2.0
core,"cloud.google.com/go/cmd/go-cloud-debug-agent/internal/valuecollector",Apache-2.0
core,"cloud.google.com/go/compute/metadata",Apache-2.0
core,"cloud.google.com/go/container/apiv1",Apache-2.0
core,"cloud.google.com/go/containeranalysis/apiv1",Apache-2.0
core,"cloud.google.com/go/containeranalysis/apiv1beta1",Apache-2.0
core,"cloud.google.com/go/dataproc/apiv1",Apache-2.0
core,"cloud.google.com/go/dataproc/apiv1beta2",Apache-2.0
core,"cloud.google.com/go/datastore",Apache-2.0
core,"cloud.google.com/go/datastore/internal/gaepb",Apache-2.0
core,"cloud.google.com/go/debugger/apiv2",Apache-2.0
core,"cloud.google.com/go/dialogflow/apiv2",Apache-2.0
core,"cloud.google.com/go/dlp/apiv2",Apache-2.0
core,"cloud.google.com/go/errorreporting",Apache-2.0
core,"cloud.google.com/go/errorreporting/apiv1beta1",Apache-2.0
core,"cloud.google.com/go/expr/apiv1alpha1",Apache-2.0
core,"cloud.google.com/go/grafeas/apiv1",Apache-2.0
core,"cloud.google.com/go/httpreplay",Apache-2.0
core,"cloud.google.com/go/httpreplay/internal/proxy",Apache-2.0
core,"cloud.google.com/go/iam",Apache-2.0
